label,dir,dpd,best_group,worst_group,best_mean,worst_mean
gold,0.9913871281154426,0.007757890994427252,Female,Male,0.9007321946047872,0.8929743036103599
silver,0.9984995447662183,0.0014617069913730463,Male,Female,0.9741756757973574,0.9727139688059844
