group,n,mean,median,std,q25,q75,iqr
40-60,29,2.3724071047125803,0.7686483672655527,3.950667063220667,0.6875,1.9445436482630056,1.2570436482630056
60+,26,3.018373893995512,1.09375,5.132906959579581,0.7811996340751648,1.7188048362731934,0.9376052021980286
<40,21,3.5419466650978526,0.9722718241315028,5.859763876402484,0.6875,1.796875,1.109375
