group,n,mean,median,std,q25,q75,iqr
Black,65,1.6926946498660238,0.34375,6.658046923683961,0.0,0.6875,0.6875
Other,19,0.9976328972138857,0.42969998717308044,1.3315115731637834,0.359375,1.2891004085540771,0.9297254085540771
White,144,0.934752377955207,0.42969998717308044,1.269341216808993,0.0,1.03125,1.03125
