group,n,mean,median,std,q25,q75,iqr
Black,65,0.9496869071117008,0.977266768635947,0.07375662455269942,0.939926601851288,0.9812648483791928,0.041338246527904854
White,144,0.9479745205350406,0.9698077938783702,0.04219496879808354,0.9158622583552949,0.9822578965139799,0.06639563815868499
