label,dir,dpd,best_group,worst_group,best_mean,worst_mean
all,0.9887062617646314,0.01073534277279764,60+,<40,0.9505570741118963,0.9398217313390986
gold,0.9932111473063058,0.0061096123373335365,40-60,60+,0.8999476955816761,0.8938380832443426
silver,0.9919312021882396,0.00792086016757354,<40,40-60,0.9816654664501274,0.9737446062825539
