property,mean,std,n_outliers_2sigma,n_outliers_3sigma,pct_2sigma,pct_3sigma
width,449.6764940239044,124.47660328755657,3,1,0.2%,0.1%
height,450.0398406374502,123.99113131314151,2,0,0.2%,0.0%
n_slices,15.608764940239045,14.085037464321408,1,1,0.1%,0.1%
spacing_x,0.5299432748104946,0.1514233090673272,20,1,1.6%,0.1%
spacing_y,0.5295355307865903,0.15084441477104135,19,0,1.5%,0.0%
spacing_z,3.9526758309854455,0.19528922827856285,73,73,5.8%,5.8%
