label,dir,dpd,best_group,worst_group,best_mean,worst_mean
gold,0.9932111473063058,0.0061096123373335365,40-60,60+,0.8999476955816761,0.8938380832443426
silver,0.9930963453730292,0.006751295837310933,<40,60+,0.9779307051275892,0.9711794092902782
