group,n,mean,median,std,q25,q75,iqr
40-60,29,2.165335026226171,1.03125,2.2530453598801228,0.7335435118370214,2.682499885559082,1.9489563737220608
60+,26,2.4477880470713567,1.2885861917838923,2.77292945950288,0.8594005405902863,2.774650518877812,1.9152499782875259
<40,21,3.040875735449767,1.375,4.314456335421093,0.6875,2.7636483720339244,2.0761483720339244
