group,n,mean,median,std,q25,q75,iqr
Hispanic,8,0.20587546752932342,0.18358749896287918,0.22771921240076487,0.0,0.21484999358654022,0.21484999358654022
Non-Hispanic,66,0.4022892169381883,0.34375,0.7230694000353243,0.0,0.3905999958515167,0.3905999958515167
