label,dir,dpd,best_group,worst_group,best_rate,worst_rate
gold,0.9696969696969697,0.030303030303030276,Hispanic,Non-Hispanic,1.0,0.9696969696969697
silver,1.0,0.0,Non-Hispanic,Non-Hispanic,1.0,1.0
