label,dir,dpd,best_group,worst_group,best_rate,worst_rate
gold,0.9978070175438597,0.002136752136752129,>=53,<53,0.9743589743589743,0.9722222222222222
silver,1.0,0.0,>=53,>=53,1.0,1.0
