series_submitter_id,width,height,n_slices,spacing_x,spacing_y,spacing_z,physical_width,physical_height,physical_depth,extreme_slices,small_width,spacing_z_outlier
1.2.826.0.1.3680043.10.474.593973.13677,320,320,15,0.6875,0.6875,3.299999952316284,220.0,220.0,49.5,"","",YES
1.2.826.0.1.3680043.10.474.593973.13984,320,320,15,0.6875,0.6875,3.299999952316284,220.0,220.0,49.5,"","",YES
1.2.826.0.1.3680043.10.474.593973.14602,320,320,15,0.6875,0.6875,3.299999952316284,220.0,220.0,49.5,"","",YES
1.2.826.0.1.3680043.10.474.593973.14673,320,320,18,0.6875,0.6875,3.299999952316284,220.0,220.0,59.39999771118164,"","",YES
1.2.826.0.1.3680043.10.474.593973.15058,320,320,15,0.6875,0.6875,3.299999952316284,220.0,220.0,49.5,"","",YES
1.2.826.0.1.3680043.10.474.593973.15825,320,320,15,0.6875,0.6875,3.299999952316284,220.0,220.0,49.5,"","",YES
1.2.826.0.1.3680043.10.474.593973.16117,320,320,15,0.6875,0.6875,3.299999952316284,220.0,220.0,49.5,"","",YES
1.2.826.0.1.3680043.10.474.593973.16320,320,320,17,0.6875,0.6875,3.299999952316284,220.0,220.0,56.099998474121094,"","",YES
1.2.826.0.1.3680043.10.474.593973.16507,320,320,17,0.6875,0.6875,3.299999952316284,220.0,220.0,56.099998474121094,"","",YES
1.2.826.0.1.3680043.10.474.593973.17033,320,320,14,0.6875,0.6875,3.299999952316284,220.0,220.0,46.20000076293945,"","",YES
1.2.826.0.1.3680043.10.474.593973.17287,320,320,15,0.6875,0.6875,3.299999952316284,220.0,220.0,49.5,"","",YES
1.2.826.0.1.3680043.10.474.593973.17642,320,320,15,0.6875,0.6875,3.299999952316284,220.0,220.0,49.5,"","",YES
1.2.826.0.1.3680043.10.474.593973.19295,256,256,15,0.8984375,0.8984375,3.299999952316284,230.0,230.0,49.5,"","",YES
1.2.826.0.1.3680043.10.474.593973.19799,320,320,15,0.6875,0.6875,3.299999952316284,220.0,220.0,49.5,"","",YES
1.2.826.0.1.3680043.10.474.593973.20087,320,320,15,0.6875,0.6875,3.299999952316284,220.0,220.0,49.5,"","",YES
1.2.826.0.1.3680043.10.474.593973.20246,320,320,15,0.6875,0.6875,3.299999952316284,220.0,220.0,49.5,"","",YES
1.2.826.0.1.3680043.10.474.593973.20301,320,320,16,0.6875,0.6875,3.299999952316284,220.0,220.0,52.79999923706055,"","",YES
1.2.826.0.1.3680043.10.474.593973.20648,320,320,17,0.6875,0.6875,3.299999952316284,220.0,220.0,56.099998474121094,"","",YES
1.2.826.0.1.3680043.10.474.593973.20939,320,320,16,0.6875,0.6875,3.299999952316284,220.0,220.0,52.79999923706055,"","",YES
1.2.826.0.1.3680043.10.474.593973.21399,320,320,15,0.6875,0.6875,3.299999952316284,220.0,220.0,49.5,"","",YES
1.2.826.0.1.3680043.10.474.593973.21563,512,512,13,0.4296875,0.4296875,5.320000171661377,220.0,220.0,69.16000366210938,"","",YES
1.2.826.0.1.3680043.10.474.593973.21579,320,320,15,0.6875,0.6875,3.299999952316284,220.0,220.0,49.5,"","",YES
1.2.826.0.1.3680043.10.474.593973.21794,320,320,17,0.6875,0.6875,3.299999952316284,220.0,220.0,56.099998474121094,"","",YES
1.2.826.0.1.3680043.10.474.593973.22090,320,320,17,0.75,0.75,3.299999952316284,240.0,240.0,56.099998474121094,"","",YES
1.2.826.0.1.3680043.10.474.593973.22199,640,640,15,0.375,0.375,3.299999952316284,240.0,240.0,49.5,"","",YES
1.2.826.0.1.3680043.10.474.593973.22386,320,320,15,0.6875,0.6875,3.299999952316284,220.0,220.0,49.5,"","",YES
1.2.826.0.1.3680043.10.474.593973.22529,56,512,512,1.0,0.48828125,0.48828125,56.0,250.0,250.0,YES,YES,YES
