label,dir,dpd,best_group,worst_group,best_mean,worst_mean
all,0.9983636523773729,0.001551786937577404,Non-White,White,0.9483235200880019,0.9467717331504245
gold,0.9837523356198926,0.014643774855491953,White,Non-White,0.9012849178138409,0.886641142958349
silver,0.9939577907125288,0.005915350878812453,White,Non-White,0.9790046318121131,0.9730892809333006
