label,dir,dpd,best_group,worst_group,best_mean,worst_mean
all,0.9826978581067396,0.016413110813218168,Non-Hispanic,Hispanic,0.948617281864478,0.9322041710512599
gold,0.9880716171871952,0.010821614206781072,Hispanic,Non-Hispanic,0.9072155359705889,0.8963939217638078
silver,0.9952731809911636,0.0046384157812573434,Hispanic,Non-Hispanic,0.9812975221996321,0.9766591064183747
