label,dir,dpd,best_group,worst_group,best_mean,worst_mean
all,0.9889545973409148,0.01052189910299739,Female,Male,0.9526043936789254,0.942082494575928
gold,0.9913871281154426,0.007757890994427252,Female,Male,0.9007321946047872,0.8929743036103599
silver,0.9965640501983346,0.0033613376996242117,Female,Male,0.9782848684212476,0.9749235307216234
