group,n,mean,median,std,q25,q75,iqr
<53,36,0.9026030760038939,0.9173124430178526,0.0713477954837574,0.9082129272377025,0.9312312317044404,0.023018304466737916
>=53,39,0.8963799652286693,0.9005192851345091,0.03023345531141766,0.8898604661399456,0.9204688357239266,0.030608369583980943
