label,dir,dpd,best_group,worst_group,best_rate,worst_rate
mixed,0.9978070175438597,0.002136752136752129,>=53,<53,0.9743589743589743,0.9722222222222222
gold_trained,0.9954954954954955,0.004273504273504258,>=53,<53,0.9487179487179487,0.9444444444444444
silver_trained,0.9978070175438597,0.002136752136752129,>=53,<53,0.9743589743589743,0.9722222222222222
