label,dir,dpd,best_group,worst_group,best_mean,worst_mean
gold,0.9880716171871952,0.010821614206781072,Hispanic,Non-Hispanic,0.9072155359705889,0.8963939217638078
silver,0.9964079110514188,0.0035095556621460577,Hispanic,Non-Hispanic,0.9770235961256601,0.9735140404635141
