property,mean,std,n_outliers_2sigma,n_outliers_3sigma,pct_2sigma,pct_3sigma
width,452.24,124.90862702945293,2,0,0.2%,0.0%
height,452.24,124.90862702945293,2,0,0.2%,0.0%
n_slices,15.2825,1.333197479520288,53,8,6.6%,1.0%
spacing_x,0.5278525348007679,0.1518620573716159,14,0,1.8%,0.0%
spacing_y,0.5278525348007679,0.1518620573716159,14,0,1.8%,0.0%
spacing_z,3.9524875018000603,0.1739684556011368,53,49,6.6%,6.1%
