stat_key,test,p_raw,p_adjusted,reject_h0,effect_size,effect_name
age_by_sex,mann_whitney,0.04179547943738521,0.08359095887477042,false,0.06701708622730651,r_rb
age_by_race,mann_whitney,0.00023956120615460018,0.0009582448246184007,true,-0.13649205202312142,r_rb
sex_by_race,chi2,0.6784034972399187,0.6784034972399187,false,0.05638808380384005,cramers_v
race_by_manufacturer,chi2,0.48977201599284537,0.5597394468489661,false,0.06581302377974825,cramers_v
sex_by_manufacturer,chi2,0.2097018276264378,0.33552292420230045,false,0.03542275580772338,cramers_v
race_by_field_strength,chi2,0.39123145250611613,0.5216419366748215,false,0.07083758496575854,cramers_v
age_by_manufacturer,mann_whitney,0.006653592585030223,0.017742913560080596,true,-0.09206574336726181,r_rb
age_by_field_strength,mann_whitney,0.00003335099468341558,0.00026680795746732464,true,-0.13850121685942574,r_rb
